REF;Nimi;Sarake1;REF2;Sarake3;OHS/kpl;Ohs;ALV %;MHS;Valuutta;Sarake6
PPW18R200S;"Asahi Gladius Straight 235 cm 0.018""";;PPW18R200S;;60;300;24,00;645;EUR;True
PPW18R300S;"ASAHI Gladius Straight 300 cm 0,018""";;PPW18R300S;;60;300;24,00;645;EUR;True
PPW14R300P;"Asahi GladiusPre-Shaped 300 cm 0.014""";;PPW14R300P;;60;300;24,00;645;EUR;True
AG141002;Asahi Grand Slam;;AG141002;;40;200;24,00;525;EUR;True
PHW14R101S;"Asahi Halberd .014"", 200 cm, straight tip";;PHW14R101S;;60;300;24;;;
PHW14R201P;"Asahi Halberd .014"", 235 cm, pre-shaped tip";;PHW14R201P;;60;300;24;;;
PHW14R201S;"Asahi Halberd .014"", 235 cm, straight tip";;PHW14R201S;;60;300;24;;;
PHW18R101P;"Asahi Halberd .018"", 200 cm, pre-shaped tip";;PHW18R101P;;60;300;24;;;
PHW18R101S;"Asahi Halberd .018"", 200 cm,straight tip";;PHW18R101S;;60;300;24;;;
PHW18R201P;"Asahi Halberd .018"", 235 cm, pre-shaped tip";;PHW18R201P;;60;300;24;;;
PHW18R201S;"Asahi Halberd .018"", 235 cm, straight tip";;PHW18R201S;;60;300;24;;;
PHW14R101P;"Asahi Halberd Pre-Shaped 200 cm 0,014""";;PHW14R101P;;60;300;24,00;750;EUR;True
PHW18R101P;"Asahi Halberd Pre-Shaped 200 cm 0.018""";;PHW18R101P;;60;300;24,00;750;EUR;True
PHW14R301P;"Asahi Halberd Pre-Shaped 300 cm 0.014""";;PHW14R301P;;60;300;24,00;750;EUR;True
PHW14R301S;"Asahi Halberd Straight 300 cm 0.014""";;PHW14R301S;;60;300;24,00;750;EUR;True
HW60AL070P10000;Asahi Hyperion Amplatz Left 6F 100cm AL0.75;;HW60AL070P10000;;36;36;24,00;79;EUR;True
HW60AL072P10000;Asahi Hyperion Amplatz Left 6F 100cm AL0.75 SH;;HW60AL072P10000;;36;36;24,00;79;EUR;True
HW60AL100P10000;Asahi Hyperion Amplatz Left 6F 100cm AL1.0;;HW60AL100P10000;;36;36;24,00;79;EUR;True
HW60AL200P10000;Asahi Hyperion Amplatz Left 6F 100cm AL2.0;;HW60AL200P10000;;36;36;24,00;79;EUR;True
HW70AL070P10000;Asahi Hyperion Amplatz Left 7F 100cm AL0.75;;HW70AL070P10000;;36;36;24,00;79;EUR;True
HW70AL100P10000;Asahi Hyperion Amplatz Left 7F 100cm AL1.0;;HW70AL100P10000;;36;36;24,00;79;EUR;True
HW70AL100P1000;Asahi Hyperion Amplatz Left 7F 100cm AL1.0;;HW70AL100P1000;;36;36;24,00;79;EUR;False
HW70AL070P09000;Asahi Hyperion Amplatz Left 7F 90cm AL0.75;;HW70AL070P09000;;36;36;24,00;79;EUR;True
HW70AL072P09000;Asahi Hyperion Amplatz Left 7F 90cm AL0.75 SH;;HW70AL072P09000;;36;36;24,00;79;EUR;True
