Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioMatrix Alpha 2.75 x 09 mm (W16020123);4.10.2016 11:12;1;"";28.2.2017;08888893018768;W16020123;KYS Kaupintavarasto BMX6
BioMatrix Alpha 2.75 x 14 mm (W16030395D);3.10.2017 14:27;1;"";28.3.2018;08888893018775;W16030395D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 2.75 x 19 mm (W16020124);4.10.2016 11:12;1;"";28.2.2017;08888893018782;W16020124;KYS Kaupintavarasto BMX6
BioMatrix Alpha 2.75 x 24 mm (W16020239);4.10.2016 11:12;1;"";28.2.2017;08888893018799;W16020239;KYS Kaupintavarasto BMX6
BioMatrix Alpha 2.75 x 33 mm (W16120341);14.3.2017 14:00;1;"";28.12.2017;08888893018812;W16120341;KYS Kaupintavarasto BMX6
BioMatrix Alpha 2.75 x 36 mm (W17090074);19.12.2017 9:29;1;"";19.9.2019;08888893018829;W17090074;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 09 mm (W16030044);4.10.2016 11:12;1;"";7.3.2017;08888893018836;W16030044;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 14 mm (W16030576D);8.9.2017 10:37;1;"";4.4.2018;08888893018843;W16030576D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 14 mm (W16040547D);8.12.2017 13:13;1;"";3.5.2018;08888893018843;W16040547D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 19 mm (W16020120);4.10.2016 11:12;1;"";28.2.2017;08888893018850;W16020120;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 19 mm (W16030447);8.12.2016 10:41;1;"";28.3.2017;08888893018850;W16030447;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 19 mm (W17030221);26.9.2017 10:10;1;"";16.3.2019;08888893018850;W17030221;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 24 mm (W16030306);17.1.2017 13:52;1;"";21.3.2017;08888893018867;W16030306;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 24 mm (W16050180D);15.5.2017 13:06;1;"";11.5.2018;08888893018867;W16050180D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 24 mm (W16100610);15.5.2017 13:09;1;"";2.11.2017;08888893018867;W16100610;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 29 mm (W16120364);14.3.2017 14:00;1;"";28.12.2017;08888893018874;W16120364;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 33 mm (W17030446);28.6.2017 11:09;1;"";29.3.2019;08888893018881;W17030446;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.00 x 36 mm (W16120080);1.3.2017 14:35;2;"";13.12.2017;08888893018898;W16120080;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 09 mm (W16030305);4.10.2016 11:11;1;"";21.3.2017;08888893018904;W16030305;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 09 mm (W16100613);15.3.2017 13:29;1;"";2.11.2017;08888893018904;W16100613;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 14 mm (W16040287D);3.10.2017 14:27;1;"";20.4.2018;08888893018911;W16040287D;KYS Kaupintavarasto BMX6
