Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.0 mm x 28 mm (8020241915485);18.5.2018 13:33;1;"";11.2.2021;08717648164361;8020241915485;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 38 mm (8030641915231);25.5.2018 11:25;1;"";14.3.2021;08717648164385;8030641915231;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.0 mm x 8 mm (7080441915212);25.5.2018 11:25;1;"";15.8.2020;08717648164316;7080441915212;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 08 mm (7042741915396);17.5.2018 14:31;1;"";9.5.2020;08717648161834;7042741915396;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 12 mm (7080241915521);14.5.2018 12:18;1;"";13.8.2020;08717648161841;7080241915521;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 12 mm (7120741915764);17.5.2018 14:31;1;"";14.12.2020;08717648161841;7120741915764;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 15 mm (7111641915515);16.2.2018 10:00;-1;"";21.11.2020;08717648161858;7111641915515;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 15 mm (7111641915570);19.1.2018 13:54;1;"";21.11.2020;08717648161858;7111641915570;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 15 mm (8013041915071);6.4.2018 13:41;1;"";8.2.2021;08717648161858;8013041915071;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 15 mm (8013041915107);16.5.2018 14:17;1;"";8.2.2021;08717648161858;8013041915107;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 18 mm (7111741915795);19.1.2018 14:13;1;"";26.11.2020;08717648161865;7111741915795;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 18 mm (8031441915754);25.5.2018 11:25;1;"";26.3.2021;08717648161865;8031441915754;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 23 mm (8010941915376);27.3.2018 10:08;1;"";16.1.2021;08717648161872;8010941915376;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 23 mm (8022341915121);16.5.2018 14:17;1;"";12.3.2021;08717648161872;8022341915121;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 28 mm (7122041915682);28.2.2018 13:47;1;"";7.1.2021;08717648161889;7122041915682;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 3.5 mm x 38 mm (8012741915017);14.5.2018 12:17;1;"";5.2.2021;08717648161902;8012741915017;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 12 mm (7013141915079);6.4.2018 13:01;1;"";8.2.2020;08717648164477;7013141915079;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 15 mm (7062741915170);19.1.2018 13:54;1;"";3.7.2020;08717648164484;7062741915170;Kajaani kaupintavarasto BMXP BFR1
