"Juturna-vq PTA balloon catheter 0.035""";4 mm x 150 mm, shaft 80cm;08PVQ040150APO;04051649122178;55;75;;08PVQ040150APO;04051649122178
"Juturna-vq PTA balloon catheter 0.035""";4 mm x 200 mm, shaft 80cm;08PVQ040200APO;04051649122413;55;75;;08PVQ040200APO;04051649122413
"Juturna-vq PTA balloon catheter 0.035""";4 mm x 220 mm, shaft 80cm;08PVQ040220APO;04051649154643;55;75;;08PVQ040220APO;04051649154643
"Juturna-vq PTA balloon catheter 0.035""";4 mm x 280 mm, shaft 80cm;08PVQ040280APO;04051649122659;55;75;;08PVQ040280APO;04051649122659
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 10 mm, shaft 80cm;08PVQ045010APO;04051649121102;55;75;;08PVQ045010APO;04051649121102
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 15 mm, shaft 80cm;08PVQ045015APO;04051649121225;55;75;;08PVQ045015APO;04051649121225
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 20 mm, shaft 80cm;08PVQ045020APO;04051649121348;55;75;;08PVQ045020APO;04051649121348
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 30 mm, shaft 80cm;08PVQ045030APO;04051649121461;55;75;;08PVQ045030APO;04051649121461
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 40 mm, shaft 80cm;08PVQ045040APO;04051649121584;55;75;;08PVQ045040APO;04051649121584
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 60 mm, shaft 80cm;08PVQ045060APO;04051649121706;55;75;;08PVQ045060APO;04051649121706
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 80 mm, shaft 80cm;08PVQ045080APO;04051649121829;55;75;;08PVQ045080APO;04051649121829
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 100 mm, shaft 80cm;08PVQ045100APO;04051649121942;55;75;;08PVQ045100APO;04051649121942
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 120 mm, shaft 80cm;08PVQ045120APO;04051649122062;55;75;;08PVQ045120APO;04051649122062
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 150 mm, shaft 80cm;08PVQ045150APO;04051649122185;55;75;;08PVQ045150APO;04051649122185
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 200 mm, shaft 80cm;08PVQ045200APO;04051649122420;55;75;;08PVQ045200APO;04051649122420
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 220 mm, shaft 80cm;08PVQ045220APO;04051649154650;55;75;;08PVQ045220APO;04051649154650
"Juturna-vq PTA balloon catheter 0.035""";4.5 mm x 280 mm, shaft 80cm;08PVQ045280APO;04051649122666;55;75;;08PVQ045280APO;04051649122666
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 10 mm, shaft 80cm;08PVQ050010APO;04051649121119;55;75;;08PVQ050010APO;04051649121119
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 15 mm, shaft 80cm;08PVQ050015APO;04051649121232;55;75;;08PVQ050015APO;04051649121232
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 20 mm, shaft 80cm;08PVQ050020APO;04051649121355;55;75;;08PVQ050020APO;04051649121355
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 30 mm, shaft 80cm;08PVQ050030APO;04051649121478;55;75;;08PVQ050030APO;04051649121478
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 40 mm, shaft 80cm;08PVQ050040APO;04051649121591;55;75;;08PVQ050040APO;04051649121591
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 60 mm, shaft 80cm;08PVQ050060APO;04051649121713;55;75;;08PVQ050060APO;04051649121713
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 80 mm, shaft 80cm;08PVQ050080APO;04051649121836;55;75;;08PVQ050080APO;04051649121836
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 100 mm, shaft 80cm;08PVQ050100APO;04051649121959;55;75;;08PVQ050100APO;04051649121959
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 120 mm, shaft 80cm;08PVQ050120APO;04051649122079;55;75;;08PVQ050120APO;04051649122079
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 150 mm, shaft 80cm;08PVQ050150APO;04051649122192;55;75;;08PVQ050150APO;04051649122192
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 200 mm, shaft 80cm;08PVQ050200APO;04051649122437;55;75;;08PVQ050200APO;04051649122437
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 220 mm, shaft 80cm;08PVQ050220APO;04051649154667;55;75;;08PVQ050220APO;04051649154667
"Juturna-vq PTA balloon catheter 0.035""";5 mm x 280 mm, shaft 80cm;08PVQ050280APO;04051649122673;55;75;;08PVQ050280APO;04051649122673
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 10 mm, shaft 80cm;08PVQ055010APO;04051649121126;55;75;;08PVQ055010APO;04051649121126
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 15 mm, shaft 80cm;08PVQ055015APO;04051649121249;55;75;;08PVQ055015APO;04051649121249
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 20 mm, shaft 80cm;08PVQ055020APO;04051649121362;55;75;;08PVQ055020APO;04051649121362
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 30 mm, shaft 80cm;08PVQ055030APO;04051649121485;55;75;;08PVQ055030APO;04051649121485
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 40 mm, shaft 80cm;08PVQ055040APO;04051649121607;55;75;;08PVQ055040APO;04051649121607
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 60 mm, shaft 80cm;08PVQ055060APO;04051649121720;55;75;;08PVQ055060APO;04051649121720
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 80 mm, shaft 80cm;08PVQ055080APO;04051649121843;55;75;;08PVQ055080APO;04051649121843
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 100 mm, shaft 80cm;08PVQ055100APO;04051649121966;55;75;;08PVQ055100APO;04051649121966
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 120 mm, shaft 80cm;08PVQ055120APO;04051649122086;55;75;;08PVQ055120APO;04051649122086
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 150 mm, shaft 80cm;08PVQ055150APO;04051649122208;55;75;;08PVQ055150APO;04051649122208
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 200 mm, shaft 80cm;08PVQ055200APO;04051649122444;55;75;;08PVQ055200APO;04051649122444
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 220 mm, shaft 80cm;08PVQ055220APO;04051649154674;55;75;;08PVQ055220APO;04051649154674
"Juturna-vq PTA balloon catheter 0.035""";5.5 mm x 280 mm, shaft 80cm;08PVQ055280APO;04051649122680;55;75;;08PVQ055280APO;04051649122680
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 10 mm, shaft 80cm;08PVQ060010APO;04051649121133;55;75;;08PVQ060010APO;04051649121133
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 15 mm, shaft 80cm;08PVQ060015APO;04051649121256;55;75;;08PVQ060015APO;04051649121256
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 20 mm, shaft 80cm;08PVQ060020APO;04051649121379;55;75;;08PVQ060020APO;04051649121379
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 30 mm, shaft 80cm;08PVQ060030APO;04051649121492;55;75;;08PVQ060030APO;04051649121492
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 40 mm, shaft 80cm;08PVQ060040APO;04051649121614;55;75;;08PVQ060040APO;04051649121614
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 60 mm, shaft 80cm;08PVQ060060APO;04051649121737;55;75;;08PVQ060060APO;04051649121737
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 80 mm, shaft 80cm;08PVQ060080APO;04051649121850;55;75;;08PVQ060080APO;04051649121850
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 100 mm, shaft 80cm;08PVQ060100APO;04051649121973;55;75;;08PVQ060100APO;04051649121973
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 120 mm, shaft 80cm;08PVQ060120APO;04051649122093;55;75;;08PVQ060120APO;04051649122093
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 150 mm, shaft 80cm;08PVQ060150APO;04051649122215;55;75;;08PVQ060150APO;04051649122215
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 200 mm, shaft 80cm;08PVQ060200APO;04051649122451;55;75;;08PVQ060200APO;04051649122451
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 220 mm, shaft 80cm;08PVQ060220APO;04051649154681;55;75;;08PVQ060220APO;04051649154681
"Juturna-vq PTA balloon catheter 0.035""";6 mm x 280 mm, shaft 80cm;08PVQ060280APO;04051649122697;55;75;;08PVQ060280APO;04051649122697
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 10 mm, shaft 80cm;08PVQ070010APO;04051649121140;55;75;;08PVQ070010APO;04051649121140
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 15 mm, shaft 80cm;08PVQ070015APO;04051649121263;55;75;;08PVQ070015APO;04051649121263
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 20 mm, shaft 80cm;08PVQ070020APO;04051649121386;55;75;;08PVQ070020APO;04051649121386
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 30 mm, shaft 80cm;08PVQ070030APO;04051649121508;55;75;;08PVQ070030APO;04051649121508
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 40 mm, shaft 80cm;08PVQ070040APO;04051649121621;55;75;;08PVQ070040APO;04051649121621
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 60 mm, shaft 80cm;08PVQ070060APO;04051649121744;55;75;;08PVQ070060APO;04051649121744
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 80 mm, shaft 80cm;08PVQ070080APO;04051649121867;55;75;;08PVQ070080APO;04051649121867
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 100 mm, shaft 80cm;08PVQ070100APO;04051649121980;55;75;;08PVQ070100APO;04051649121980
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 120 mm, shaft 80cm;08PVQ070120APO;04051649122109;55;75;;08PVQ070120APO;04051649122109
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 150 mm, shaft 80cm;08PVQ070150APO;04051649122222;55;75;;08PVQ070150APO;04051649122222
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 200 mm, shaft 80cm;08PVQ070200APO;04051649122468;55;75;;08PVQ070200APO;04051649122468
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 220 mm, shaft 80cm;08PVQ070220APO;04051649154699;55;75;;08PVQ070220APO;04051649154699
"Juturna-vq PTA balloon catheter 0.035""";7 mm x 280 mm, shaft 80cm;08PVQ070280APO;04051649122703;55;75;;08PVQ070280APO;04051649122703
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 10 mm, shaft 80cm;08PVQ080010APO;04051649121157;55;75;;08PVQ080010APO;04051649121157
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 15 mm, shaft 80cm;08PVQ080015APO;04051649121270;55;75;;08PVQ080015APO;04051649121270
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 20 mm, shaft 80cm;08PVQ080020APO;04051649121393;55;75;;08PVQ080020APO;04051649121393
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 30 mm, shaft 80cm;08PVQ080030APO;04051649121515;55;75;;08PVQ080030APO;04051649121515
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 40 mm, shaft 80cm;08PVQ080040APO;04051649121638;55;75;;08PVQ080040APO;04051649121638
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 60 mm, shaft 80cm;08PVQ080060APO;04051649121751;55;75;;08PVQ080060APO;04051649121751
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 80 mm, shaft 80cm;08PVQ080080APO;04051649121874;55;75;;08PVQ080080APO;04051649121874
"Juturna-vq PTA balloon catheter 0.035""";8 mm x 100 mm, shaft 80cm;08PVQ080100APO;04051649121997;55;75;;08PVQ080100APO;04051649121997
