BFR1-2208;08888893014395;BioFreedom 2.25 x 08 mm;;275;750
BFR1-2211;08888893014401;BioFreedom 2.25 x 11 mm;;275;750
BFR1-2214;08888893014418;BioFreedom 2.25 x 14 mm;;275;750
BFR1-2218;08888893014425;BioFreedom 2.25 x 18 mm;;275;750
BFR1-2224;08888893014432;BioFreedom 2.25 x 24 mm;;275;750
BFR1-2228;08888893014449;BioFreedom 2.25 x 28 mm;;275;750
BFR1-2508;08888893014456;BioFreedom 2.50 x 08 mm;;275;750
BFR1-2511;08888893014463;BioFreedom 2.50 x 11 mm;;275;750
BFR1-2514;08888893014470;BioFreedom 2.50 x 14 mm;;275;750
BFR1-2518;08888893014487;BioFreedom 2.50 x 18 mm;;275;750
BFR1-2524;08888893014494;BioFreedom 2.50 x 24 mm;;275;750
BFR1-2528;08888893014500;BioFreedom 2.50 x 28 mm;;275;750
BFR1-2533;08888893014517;BioFreedom 2.50 x 33 mm;;275;750
BFR1-2536;08888893014524;BioFreedom 2.50 x 36 mm;;275;750
BFR1-2708;08888893014531;BioFreedom 2.75 x 08 mm;;275;750
BFR1-2711;08888893014548;BioFreedom 2.75 x 11 mm;;275;750
BFR1-2714;08888893014555;BioFreedom 2.75 x 14 mm;;275;750
BFR1-2718;08888893014562;BioFreedom 2.75 x 18 mm;;275;750
BFR1-2724;08888893014579;BioFreedom 2.75 x 24 mm;;275;750
BFR1-2728;08888893014586;BioFreedom 2.75 x 28 mm;;275;750
BFR1-2733;08888893014593;BioFreedom 2.75 x 33 mm;;275;750
BFR1-2736;08888893014609;BioFreedom 2.75 x 36 mm;;275;750
BFR1-3008;08888893014616;BioFreedom 3.00 x 08 mm;;275;750
BFR1-3011;08888893014623;BioFreedom 3.00 x 11 mm;;275;750
BFR1-3014;08888893014630;BioFreedom 3.00 x 14 mm;;275;750
BFR1-3018;08888893014647;BioFreedom 3.00 x 18 mm;;275;750
BFR1-3024;08888893014654;BioFreedom 3.00 x 24 mm;;275;750
BFR1-3028;08888893014661;BioFreedom 3.00 x 28 mm;;275;750
BFR1-3033;08888893014678;BioFreedom 3.00 x 33 mm;;275;750
BFR1-3036;08888893014685;BioFreedom 3.00 x 36 mm;;275;750
BFR1-3508;08888893014692;BioFreedom 3.50 x 08 mm;;275;750
BFR1-3511;08888893014708;BioFreedom 3.50 x 11 mm;;275;750
BFR1-3514;08888893014715;BioFreedom 3.50 x 14 mm;;275;750
BFR1-3518;08888893014722;BioFreedom 3.50 x 18 mm;;275;750
BFR1-3524;08888893014739;BioFreedom 3.50 x 24 mm;;275;750
BFR1-3528;08888893014746;BioFreedom 3.50 x 28 mm;;275;750
BFR1-3533;08888893014753;BioFreedom 3.50 x 33 mm;;275;750
BFR1-3536;08888893014760;BioFreedom 3.50 x 36 mm;;275;750
BFR1-4008;08888893014777;BioFreedom 4.00 x 08 mm;;275;750
BFR1-4011;08888893014784;BioFreedom 4.00 x 11 mm;;275;750
BFR1-4014;08888893014791;BioFreedom 4.00 x 14 mm;;275;750
BFR1-4018;08888893014807;BioFreedom 4.00 x 18 mm;;275;750
BFR1-4024;08888893014814;BioFreedom 4.00 x 24 mm;;275;750
BFR1-4028;08888893014821;BioFreedom 4.00 x 28 mm;;275;750
