08717648161896;6111741;2019-11-28;-1
08717648161896;7022141;2020-02-27;-1
08717648161896;7072041;2020-07-31;1
08717648161896;7110741;2020-11-10;1
08717648161896;8020241;2021-02-11;2
08717648191671;6083141;2019-09-11;1
08717648191671;7081141;2020-08-17;1
08717648191671;7100242;2020-10-08;3
08717648191671;7120641;2020-12-13;1
08717648191664;6110841;2019-11-15;-3
08717648191664;7071341;2020-07-19;2
08717648191688;6110941;2019-11-15;-1
08717648191688;6121241;2020-01-02;1
08717648191688;7010941;2020-01-18;-1
08717648191688;7071241;2020-07-19;1
08717648191688;7120641;2020-12-13;1
08717648191688;8013141;2021-02-11;3
08717648191688;8021441;2021-02-26;1
08717648191695;6083141;2019-09-11;0
08717648191695;7011141;2020-01-18;1
08717648191695;7091241;2020-09-18;0
08717648191695;7100541;2020-10-17;3
08717648191695;8012641;2021-02-04;2
08717648164125;6112141;2019-11-28;-2
08717648164125;7032141;2020-03-28;-1
08717648164125;7041341;2020-04-25;-1
08717648164125;7042841;2020-05-09;2
08717648164125;7062641;2020-07-03;-1
08717648164125;7072541;2020-08-02;-1
08717648164125;7082241;2020-08-28;1
08717648164125;7121343;2020-12-29;1
08717648164132;6111041;2019-11-22;-1
08717648164132;7021341;2020-03-01;-2
08717648164132;7030141;2020-03-13;0
08717648164132;7080341;2020-08-13;1
08717648164132;7120141;2020-12-06;1
08717648164149;6112441;2019-11-30;-1
08717648164149;7020141;2020-02-12;1
08717648164149;7033141;2020-04-12;1
08717648164149;7121641;2021-01-01;1
08717648164149;8010541;2021-01-16;1
08717648164156;7091241;2020-09-20;1
08717648164156;8010141;2021-01-09;1
08717648164163;6102641;2019-11-01;-1
08717648164163;7052241;2020-05-24;1
08717648164170;7071141;2020-07-16;1
08717648164187;6060841;2019-06-13;1
08717648164118;7102641;2020-11-09;1
08717648164224;7082241;2020-08-28;-1
08717648164224;7121841;2021-01-01;1
08717648164231;6111541;2019-11-23;-1
08717648164231;7032241;2020-03-29;-1
08717648164231;7060141;2020-06-07;-1
08717648164231;7072441;2020-08-02;1
08717648164231;7082241;2020-08-30;-1
08717648164248;7082341;2020-08-30;-1
08717648164248;7110841;2020-11-14;1
08717648164255;6112541;2019-12-05;-1
08717648164255;8012641;2021-02-08;1
08717648164262;6111541;2019-11-22;1
08717648164279;7101341;2020-10-23;1
08717648164286;7062841;2020-07-05;-1
08717648164286;7110641;2020-11-12;1
08717648164286;7112942;2020-12-11;1
08717648164378;6113041;2019-12-09;-2
08717648164378;7030141;2020-03-07;1
08717648164378;8013141;2021-02-08;2
08717648164378;8022141;2021-03-06;1
08717648164323;6112241;2019-11-30;-1
08717648164323;6121641;2020-01-09;-1
08717648164323;7012641;2020-02-07;-2
08717648164323;7022141;2020-02-29;-2
08717648164323;7032841;2020-04-04;-4
08717648164323;7042441;2020-05-01;-1
08717648164323;7051741;2020-05-23;-6
08717648164323;7062441;2020-07-04;-3
08717648164323;7072041;2020-07-31;-4
08717648164323;7082241;2020-08-27;-4
08717648164323;7091841;2020-09-25;-1
08717648164323;7102441;2020-11-01;0
08717648164323;7112941;2020-12-05;1
08717648164323;7122041;2021-01-07;3
08717648164323;8010341;2021-01-10;1
08717648164330;6110341;2019-11-16;-4
08717648164330;7012741;2020-02-07;-1
08717648164330;7021641;2020-02-29;-6
08717648164330;7030941;2020-03-21;-3
